case_id,activity,timestamp
0,28,2018-01-02 00:00:00
0,0,2018-01-02 14:52:00
0,2,2018-02-16 11:40:00
0,1,2018-02-22 11:38:00
0,9,2018-02-22 16:54:00
0,3,2018-03-29 15:10:00
1,0,2018-01-02 07:22:00
1,2,2018-02-16 12:26:00
1,3,2018-03-29 15:06:00
1,1,2018-07-02 07:17:00
2,0,2018-01-02 07:23:00
2,2,2018-02-24 07:48:00
2,3,2018-03-29 15:08:00
2,1,2018-06-02 08:42:00
3,0,2018-01-02 07:24:00
3,1,2018-02-02 17:28:00
3,3,2018-02-22 16:15:00
3,2,2018-05-02 17:32:00
4,0,2018-01-02 07:28:00
4,2,2018-03-13 14:02:00
4,3,2018-05-04 15:51:00
4,1,2018-12-02 17:36:00
5,0,2018-01-02 08:09:00
5,3,2018-02-22 16:18:00
5,1,2018-06-02 08:36:00
5,2,2018-07-02 12:56:00
6,0,2018-01-02 08:09:00
6,3,2018-02-22 16:18:00
6,1,2018-06-02 08:36:00
6,2,2018-07-02 12:56:00
7,0,2018-01-02 08:11:00
7,14,2018-02-02 07:52:00
7,14,2018-02-02 07:56:00
7,2,2018-02-14 13:15:00
7,3,2018-05-04 15:48:00
7,1,2018-07-02 07:13:00
8,0,2018-01-02 08:20:00
8,3,2018-02-22 16:18:00
8,1,2018-05-02 17:34:00
8,2,2018-07-02 12:54:00
9,0,2018-01-02 08:20:00
9,3,2018-02-22 16:18:00
9,1,2018-05-02 17:34:00
9,2,2018-07-02 12:54:00
10,0,2018-01-02 08:35:00
10,14,2018-01-02 08:35:00
10,1,2018-02-13 14:48:00
10,2,2018-02-22 14:20:00
10,9,2018-03-15 17:36:00
10,3,2018-04-26 11:12:00
11,0,2018-01-02 08:38:00
11,3,2018-03-29 15:06:00
11,1,2018-06-02 10:49:00
12,0,2018-01-02 08:38:00
12,3,2018-03-29 15:06:00
12,1,2018-06-02 10:49:00
13,0,2018-01-02 08:38:00
13,3,2018-03-29 15:06:00
13,1,2018-06-02 10:49:00
14,0,2018-01-02 08:38:00
14,1,2018-02-20 17:33:00
14,3,2018-03-29 15:06:00
14,2,2018-09-03 15:41:00
15,0,2018-01-02 08:41:00
15,1,2018-02-02 17:26:00
15,3,2018-02-22 16:18:00
15,2,2018-05-02 11:58:00
16,0,2018-01-02 08:42:00
16,3,2018-03-29 15:07:00
16,1,2018-07-02 07:17:00
16,2,2018-09-03 16:54:00
17,0,2018-01-02 08:42:00
17,3,2018-03-29 15:07:00
17,1,2018-07-02 07:17:00
17,2,2018-09-03 16:54:00
18,0,2018-01-02 08:42:00
18,3,2018-03-29 15:07:00
18,1,2018-07-02 07:17:00
18,2,2018-09-03 16:54:00
19,0,2018-01-02 08:51:00
19,2,2018-03-19 14:55:00
19,3,2018-04-26 11:13:00
19,1,2018-05-02 09:26:00
20,0,2018-01-02 08:51:00
20,2,2018-03-19 14:55:00
20,3,2018-04-26 11:13:00
20,1,2018-05-02 11:12:00
21,0,2018-01-02 08:51:00
21,2,2018-03-19 14:55:00
21,3,2018-04-26 11:13:00
21,1,2018-05-02 09:28:00
22,0,2018-01-02 08:52:00
22,1,2018-03-21 16:57:00
22,2,2018-03-22 12:28:00
22,3,2018-05-04 15:49:00
23,0,2018-01-02 08:52:00
23,1,2018-03-21 16:57:00
23,2,2018-03-22 12:28:00
23,3,2018-05-04 15:49:00
24,0,2018-01-02 08:54:00
24,1,2018-02-14 12:47:00
24,1,2018-02-14 12:48:00
24,2,2018-03-13 13:40:00
24,3,2018-03-29 15:07:00
25,0,2018-01-02 09:03:00
25,3,2018-01-03 14:05:00
25,2,2018-06-02 09:28:00
25,1,2018-07-02 14:53:00
25,9,2018-07-02 16:30:00
26,21,2018-01-02 09:30:00
26,1,2018-02-02 13:43:00
26,3,2018-04-26 11:14:00
26,2,2018-05-02 14:34:00
27,21,2018-01-02 09:30:00
27,3,2018-04-26 11:14:00
27,1,2018-05-02 11:08:00
27,2,2018-06-02 13:38:00
27,9,2018-12-03 17:31:00
28,0,2018-01-02 09:40:00
28,1,2018-02-21 10:12:00
29,0,2018-01-02 09:45:00
29,21,2018-01-02 10:03:00
29,3,2018-03-29 15:08:00
29,1,2018-06-02 11:51:00
29,2,2018-08-02 12:13:00
29,9,2018-12-02 16:47:00
30,0,2018-01-02 09:45:00
30,21,2018-01-02 10:15:00
30,3,2018-04-26 11:14:00
30,1,2018-06-02 07:45:00
30,2,2018-06-02 11:43:00
31,0,2018-01-02 09:45:00
31,21,2018-01-02 10:03:00
31,3,2018-03-29 15:08:00
31,1,2018-05-02 16:54:00
31,2,2018-08-02 10:41:00
31,9,2018-12-02 16:43:00
32,0,2018-01-02 09:46:00
32,21,2018-01-02 14:45:00
32,2,2018-02-14 14:28:00
32,3,2018-04-26 11:14:00
32,1,2018-12-02 12:26:00
33,0,2018-01-02 09:46:00
33,21,2018-01-02 11:48:00
33,1,2018-05-02 10:18:00
33,3,2018-05-24 13:35:00
33,2,2018-06-02 16:34:00
34,0,2018-01-02 09:46:00
34,21,2018-01-02 14:45:00
34,3,2018-04-26 11:14:00
34,1,2018-05-02 17:05:00
34,2,2018-08-02 14:40:00
35,0,2018-01-02 09:47:00
35,21,2018-01-02 11:12:00
35,2,2018-02-26 13:06:00
35,1,2018-05-02 11:39:00
35,3,2018-07-06 13:12:00
36,0,2018-01-02 09:52:00
36,2,2018-03-21 17:02:00
36,3,2018-04-26 11:15:00
37,0,2018-01-02 09:56:00
37,1,2018-02-15 09:11:00
37,2,2018-02-24 12:11:00
37,3,2018-09-05 14:09:00
38,0,2018-01-02 09:59:00
38,1,2018-01-03 14:34:00
38,2,2018-03-13 14:46:00
38,3,2018-05-04 15:47:00
39,0,2018-01-02 10:12:00
39,24,2018-02-02 15:01:00
39,24,2018-02-13 13:25:00
39,2,2018-02-14 11:12:00
39,3,2018-04-26 11:14:00
39,1,2018-12-02 07:03:00
40,0,2018-01-02 10:12:00
