Case;event;time;case Spend area text
0;0;28.09.2018-10:36:00;7
0;2;31.10.2018-15:55:00;7
0;3;07.12.2018-09:08:00;7
1;0;30.07.2018-10:22:00;7
1;1;07.08.2018-14:29:00;7
1;2;03.10.2018-10:53:00;7
1;3;26.10.2018-11:02:00;7
2;0;13.09.2018-10:18:00;7
2;1;18.09.2018-13:35:00;7
2;2;16.10.2018-10:50:00;7
2;3;29.11.2018-16:15:00;7
3;0;28.02.2018-11:00:00;9
3;2;17.04.2018-17:53:00;9
3;3;09.05.2018-14:12:00;9
4;0;26.02.2018-13:41:00;9
4;1;01.03.2018-12:50:00;9
4;2;01.03.2018-17:42:00;9
4;3;09.03.2018-14:51:00;9
5;0;24.05.2018-08:46:00;7
5;1;31.05.2018-11:03:00;7
5;2;08.06.2018-12:00:00;7
5;3;05.07.2018-14:10:00;7
6;28;29.11.2018-00:00:00;10
6;0;29.11.2018-13:13:00;10
6;1;12.12.2018-11:44:00;10
6;2;12.12.2018-15:15:00;10
7;28;28.11.2018-00:00:00;10
7;21;29.11.2018-12:33:00;10
7;1;20.12.2018-09:33:00;10
7;2;24.12.2018-17:49:00;10
8;28;02.10.2018-00:00:00;7
8;0;02.10.2018-07:55:00;7
8;1;08.10.2018-08:12:00;7
8;2;18.10.2018-09:12:00;7
8;3;07.12.2018-09:04:00;7
9;0;27.09.2018-12:55:00;6
9;6;03.10.2018-14:18:00;6
9;1;02.11.2018-12:56:00;6
9;8;05.11.2018-11:37:00;6
10;28;26.10.2018-00:00:00;10
10;0;26.10.2018-11:22:00;10
10;2;31.12.2018-14:02:00;10
11;28;03.09.2018-00:00:00;13
11;0;03.09.2018-08:41:00;13
11;1;17.09.2018-15:13:00;13
12;0;04.06.2018-08:56:00;7
12;1;04.06.2018-09:43:00;7
12;2;06.08.2018-12:37:00;7
12;9;10.08.2018-16:52:00;7
12;3;30.08.2018-15:40:00;7
13;28;17.09.2018-00:00:00;11
13;0;17.09.2018-13:33:00;11
13;17;24.10.2018-10:50:00;11
13;17;05.11.2018-15:09:00;11
13;1;20.11.2018-11:18:00;11
13;2;22.11.2018-16:11:00;11
13;3;07.12.2018-09:03:00;11
14;0;03.07.2018-10:53:00;4
14;1;03.07.2018-11:32:00;4
14;2;07.07.2018-05:35:00;4
14;3;06.09.2018-14:06:00;4
15;0;22.02.2018-08:51:00;7
15;1;26.02.2018-17:22:00;7
15;2;28.02.2018-16:19:00;7
15;3;15.03.2018-14:14:00;7
16;0;01.10.2018-20:33:00;10
16;1;08.10.2018-12:30:00;10
16;2;09.10.2018-12:29:00;10
16;3;07.12.2018-09:04:00;10
17;28;27.09.2018-00:00:00;7
17;0;27.09.2018-09:54:00;7
17;14;03.10.2018-13:13:00;7
17;2;15.10.2018-14:50:00;7
17;3;08.11.2018-16:45:00;7
18;1;05.12.2018-16:39:00;10
18;2;06.12.2018-13:22:00;10
19;1;03.05.2018-10:18:00;10
19;2;08.06.2018-10:20:00;10
19;3;30.08.2018-15:36:00;10
20;28;01.10.2018-00:00:00;10
20;0;01.10.2018-18:11:00;10
20;1;16.10.2018-15:44:00;10
20;2;14.11.2018-11:05:00;10
20;9;20.11.2018-07:33:00;10
21;0;04.06.2018-11:39:00;7
21;2;12.07.2018-13:07:00;7
21;3;09.08.2018-14:29:00;7
22;0;02.02.2018-17:38:00;10
22;1;16.02.2018-11:38:00;10
