case_id;activity;timestamp
0;0;2010-01-04 08:57:16
0;5;2010-02-04 07:26:11
0;1;2010-04-26 13:13:55
0;2;2010-04-26 13:13:59
0;3;2010-10-05 09:36:47
1;0;2010-01-04 09:16:17
1;1;2010-02-04 10:32:20
1;2;2010-02-04 10:32:27
1;3;2010-05-30 09:21:41
2;0;2010-01-04 09:18:25
2;1;2010-02-04 08:04:00
2;2;2010-02-04 08:04:25
2;3;2010-05-30 09:21:41
3;0;2010-01-04 09:36:02
3;1;2010-04-29 08:55:35
3;5;2010-04-29 09:38:26
3;1;2010-04-29 13:39:58
3;2;2010-04-29 14:26:41
3;3;2010-05-14 14:26:52
4;0;2010-01-04 09:47:23
4;1;2010-01-04 10:01:46
4;2;2010-01-04 10:08:18
4;1;2010-01-04 12:50:59
4;2;2010-01-04 13:08:24
4;3;2010-05-15 09:50:38
5;0;2010-01-06 07:53:51
5;3;2010-03-07 08:00:23
5;1;2010-04-06 09:16:54
5;5;2010-04-06 12:12:27
5;1;2010-09-06 11:47:56
5;2;2010-09-06 11:48:04
6;0;2010-01-06 12:50:06
6;3;2010-03-07 13:25:50
6;1;2010-06-14 07:40:33
6;2;2010-06-14 13:02:46
6;1;2010-10-06 15:15:40
6;2;2010-10-06 15:15:57
7;0;2010-01-06 12:56:49
7;1;2010-01-06 16:14:25
7;2;2010-01-06 16:14:39
7;2;2010-01-06 16:14:40
7;3;2010-07-16 13:00:44
8;0;2010-01-07 07:29:35
8;1;2010-07-30 08:02:53
8;2;2010-07-30 08:03:02
8;3;2010-08-29 08:03:26
9;0;2010-01-07 08:03:48
9;1;2010-01-07 08:11:38
9;2;2010-01-07 08:22:26
9;3;2010-08-14 08:10:48
10;0;2010-01-07 08:33:32
10;3;2010-05-08 08:23:24
10;5;2010-07-14 14:04:12
10;1;2010-07-21 08:23:02
10;2;2010-07-21 08:23:11
10;1;2010-12-07 09:25:59
11;0;2010-01-07 08:41:38
11;1;2010-01-07 08:46:30
11;2;2010-01-07 08:47:56
11;3;2010-03-08 08:50:21
12;0;2010-01-07 09:32:09
12;1;2010-01-07 10:07:28
12;2;2010-01-07 10:38:41
12;3;2010-05-08 09:40:24
13;0;2010-01-07 09:53:02
13;0;2010-01-07 12:33:00
13;1;2010-01-07 16:43:16
13;5;2010-01-07 16:55:02
13;1;2010-02-07 12:15:07
13;2;2010-02-07 12:39:50
13;3;2010-08-14 10:00:29
14;4;2010-01-07 10:33:03
14;0;2010-01-07 12:32:37
14;0;2010-02-07 08:52:11
14;1;2010-02-07 12:18:29
14;5;2010-02-07 12:21:29
14;1;2010-07-27 10:29:08
14;2;2010-07-27 10:29:15
14;3;2010-11-08 10:29:36
15;4;2010-01-07 12:14:34
15;0;2010-01-07 12:32:08
15;0;2010-02-07 08:53:50
15;1;2010-02-07 12:24:18
15;5;2010-02-07 12:24:33
15;1;2010-07-29 08:22:16
15;2;2010-07-29 08:22:33
15;3;2010-08-13 08:22:48
16;0;2010-01-07 12:57:08
16;1;2010-06-08 13:26:34
16;2;2010-06-08 13:26:59
16;3;2010-08-21 13:27:19
17;0;2010-01-07 13:44:31
17;1;2010-07-26 12:34:58
17;2;2010-07-26 12:35:29
17;3;2010-08-25 12:35:47
18;0;2010-01-07 14:30:32
18;3;2010-08-25 16:07:18
18;1;2010-09-08 09:34:20
18;5;2010-09-08 09:34:30
18;1;2010-10-08 16:06:20
18;2;2010-10-08 16:07:04
19;0;2010-01-07 15:36:15
19;3;2010-08-25 12:55:27
19;1;2010-10-08 12:52:51
19;2;2010-10-08 12:55:19
20;0;2010-01-07 15:49:42
20;0;2010-01-07 16:00:22
20;0;2010-01-07 16:00:32
20;1;2010-02-07 09:41:09
20;2;2010-02-07 10:13:08
20;1;2010-05-07 06:57:31
20;6;2010-05-07 06:57:40
20;2;2010-05-07 06:57:48
20;1;2010-05-07 06:58:47
20;6;2010-05-07 06:58:52
20;2;2010-05-07 07:12:29
20;3;2010-05-08 15:50:24
21;0;2010-01-09 14:54:35
21;0;2010-01-09 15:01:57
21;1;2010-01-09 16:05:15
21;2;2010-01-09 16:05:28
21;3;2010-02-10 15:00:28
22;0;2010-01-09 15:03:24
22;3;2010-06-10 08:51:59
22;2;2010-09-21 08:51:40
22;1;2010-10-09 15:20:12
23;0;2010-01-09 15:21:14
23;0;2010-02-09 07:28:41
23;1;2010-09-09 10:02:08
23;2;2010-09-09 10:18:11
23;3;2010-10-30 15:31:26
24;0;2010-01-09 15:44:25
24;3;2010-02-10 15:51:03
24;1;2010-06-09 08:17:42
24;2;2010-06-09 08:18:33
25;0;2010-01-10 08:44:58
25;1;2010-01-10 09:01:34
25;2;2010-01-10 12:48:50
25;3;2010-11-19 09:50:33
26;0;2010-01-10 12:38:26
26;1;2010-04-10 07:17:17
26;2;2010-06-10 07:39:10
26;3;2010-11-14 13:41:40
27;0;2010-01-10 13:48:25
27;1;2010-01-10 13:48:47
27;5;2010-01-10 13:49:19
27;1;2010-10-27 13:17:32
27;2;2010-10-27 13:17:41
27;3;2010-11-11 14:17:55
28;0;2010-01-10 14:07:02
28;1;2010-01-10 15:23:28
28;5;2010-01-10 15:27:29
28;5;2010-01-10 15:27:29
28;1;2010-01-10 15:27:53
28;3;2010-03-11 08:03:45
28;2;2010-04-10 07:03:15
29;0;2010-01-10 14:10:03
29;1;2010-04-10 07:18:28
29;3;2010-10-11 14:25:39
29;1;2010-10-26 13:25:09
29;2;2010-10-26 13:25:21
29;5;2010-11-10 15:05:48
29;5;2010-11-10 15:05:49
30;4;2010-01-12 13:42:59
30;0;2010-02-12 14:07:33
30;1;2010-02-12 14:07:41
30;2;2010-02-12 14:08:33
30;3;2011-01-01 14:08:51
31;0;2010-01-12 14:30:44
31;1;2010-01-12 14:34:08
31;2;2010-02-12 10:37:02
31;3;2011-04-01 14:40:19
32;0;2010-01-12 15:56:02
32;1;2010-07-12 15:02:54
32;2;2010-07-12 15:03:03
32;3;2011-08-01 16:00:49
33;0;2010-01-12 16:31:45
33;1;2010-03-12 08:41:20
33;2;2010-03-12 08:41:35
33;3;2011-01-15 16:40:38
34;0;2010-01-12 16:39:51
34;1;2010-02-12 17:41:33
34;2;2010-02-12 17:44:15
34;2;2010-02-12 17:44:15
34;3;2011-01-15 16:40:37
35;4;2010-01-12 16:56:39
35;0;2010-02-12 13:06:01
35;1;2010-02-12 14:08:51
