CaseID;Prefix length;Ground truth;Predicted;Levenshtein;Damerau;Jaccard;Ground truth times;Predicted times;MAE;In time;Dev. in time;Num corrections
0;2;b'\xc2\xa3\xc2\xa2\xc2\xaa\xc2\xa4!';b'\xc2\xa2\xc2\xa3!';0.4;0.4;0.6;7431480;22601047.90474557;15169567.904745571;0;1.7730585093183642;0
3;2;b'\xc2\xa4\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.6666666666666667;1.0;7689840;9613040.793447595;1923200.793447595;1;0.9648252583270049;0
3;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;5966220;5746616.579615822;219603.42038417794;1;0.7971188045507751;0
3;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8143060541520364;0
5;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;11219880;9754962.682246277;1464917.317753723;0;1.1106345638441022;0
5;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;2607600;5497912.70390346;2890312.70390346;0;1.4514964016159224;0
5;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.2252862370347872;0
6;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;11219880;9754962.682246277;1464917.317753723;0;1.1106345638441022;0
6;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;2607600;5497912.70390346;2890312.70390346;0;1.4514964016159224;0
6;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.2252862370347872;0
7;2;b'\xc2\xaf\xc2\xa3\xc2\xa4\xc2\xa2!';b'\xc2\xa3\xc2\xa4!';0.6;0.6;0.6;12957660;9613040.793447595;3344619.206552405;1;0.9618997146857847;0
7;3;b'\xc2\xa3\xc2\xa4\xc2\xa2!';b'\xc2\xa4!';0.5;0.5;0.5;12957420;5563269.067749062;7394150.932250938;1;0.6449633372102108;0
8;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;11219760;9754962.682246277;1464797.317753723;0;1.110582908980453;0
8;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;5253600;5400791.050215763;147191.05021576304;0;1.2367450898160366;0
8;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.2252251903777474;0
9;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;11219760;9754962.682246277;1464797.317753723;0;1.110582908980453;0
9;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;5253600;5400791.050215763;147191.05021576304;0;1.2367450898160366;0
9;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.2252251903777474;0
10;2;b'\xc2\xa2\xc2\xa3\xc2\xaa\xc2\xa4!';b'\xc2\xa2\xc2\xa3!';0.6;0.6;0.6;9859020;5665413.775621363;4193606.224378637;1;0.4434032971147835;0
10;3;b'\xc2\xa3\xc2\xaa\xc2\xa4!';b'\xc2\xa3!';0.5;0.5;0.5;6207840;3843505.9793951646;2364334.0206048354;1;0.5865711853922413;0
10;4;b'\xc2\xaa\xc2\xa4!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;5431920;4482441.253512452;949478.7464875476;1;0.69730475549499;0
10;5;b'\xc2\xa4!';b'!';0.5;0.5;0.5;3605760;0;3605760.0;1;0.48941104948894737;0
10;6;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.7716156572943588;0
11;2;b'\xc2\xa2!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.25;5600580;9958866.322847655;4358286.322847655;0;1.3627919789261573;0
11;3;b'!';b'\xc2\xa4!';0.5;0.5;0.5;0;5695519.98689151;5695519.98689151;0;1.4674504979916771;0
12;2;b'\xc2\xa2!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.25;5600580;9958866.322847655;4358286.322847655;0;1.3627919789261573;0
12;3;b'!';b'\xc2\xa4!';0.5;0.5;0.5;0;5695519.98689151;5695519.98689151;0;1.4674504979916771;0
13;2;b'\xc2\xa2!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.25;5600580;9958866.322847655;4358286.322847655;0;1.3627919789261573;0
13;3;b'!';b'\xc2\xa4!';0.5;0.5;0.5;0;5695519.98689151;5695519.98689151;0;1.4674504979916771;0
14;2;b'\xc2\xa4\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.6666666666666667;1.0;16841280;9754962.682246277;7086317.317753723;0;1.0973263926094021;0
14;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;13653300;5695519.98689151;7957780.01310849;0;1.0291214127550472;0
14;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.6519366271900133;0
15;2;b'\xc2\xa4\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.6666666666666667;1.0;7669920;9613040.793447595;1943120.793447595;1;0.9644542824880701;0
15;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;5946000;5746616.579615822;199383.42038417794;1;0.7967713081953172;0
15;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8123760406102362;0
16;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;13657620;9958866.322847655;3698753.677152345;0;1.3627778912360713;0
16;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;5477820;5400791.050215763;77028.94978423696;0;1.6462319775496574;0
16;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.6522606440619942;0
17;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;13657620;9958866.322847655;3698753.677152345;0;1.3627778912360713;0
17;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;5477820;5400791.050215763;77028.94978423696;0;1.6462319775496574;0
17;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.6522606440619942;0
18;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;13657620;9958866.322847655;3698753.677152345;0;1.3627778912360713;0
18;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;5477820;5400791.050215763;77028.94978423696;0;1.6462319775496574;0
18;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.6522606440619942;0
22;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;3797520;9958866.322847655;6161346.322847655;0;1.309150750974859;0
22;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;3727260;5563269.067749062;1836009.0677490616;1;0.9706284689313417;0
22;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8269333203659067;0
23;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;3797520;9958866.322847655;6161346.322847655;0;1.309150750974859;0
23;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;3727260;5563269.067749062;1836009.0677490616;1;0.9706284689313417;0
23;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8269333203659067;0
24;2;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.75;0.75;0.75;3723600;9613040.793447595;5889440.793447595;0;1.0442281755491445;0
24;3;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;3723540;5563269.067749062;1839729.0677490616;1;0.7272777103834844;0
24;4;b'\xc2\xa4!';b'!';0.5;0.5;0.5;1387620;0;1387620.0;1;0.47468941334893866;0
24;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.583291416222936;0
25;2;b'\xc2\xa3\xc2\xa2\xc2\xaa!';b'\xc2\xa3\xc2\xa4!';0.5;0.5;0.4;15560700;9783316.541633071;5777383.458366929;1;0.7738709823381412;0
26;2;b'\xc2\xa4\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.6666666666666667;1.0;7692660;9613040.793447595;1920380.793447595;1;0.9631769985869274;0
26;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;530400;5505437.9783039;4975037.9783039;0;1.2022495749182294;0
26;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8128785015566417;0
27;2;b'\xc2\xa2\xc2\xa3\xc2\xaa!';b'\xc2\xa3\xc2\xa4!';0.5;0.5;0.4;19117020;9954419.885910533;9162600.114089467;0;1.5504488988803071;0
27;3;b'\xc2\xa3\xc2\xaa!';b'\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.25;18598980;5563269.067749062;13035710.93225094;0;1.2473200940163798;0
27;4;b'\xc2\xaa!';b'!';0.5;0.5;0.5;15911580;0;15911580.0;0;1.0222403598233558;0
27;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.267559292160624;0
28;2;b'!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.33333333333333326;0;9754962.682246277;9754962.682246277;0;1.101726447812971;0
29;2;b'\xc2\xa4\xc2\xa2\xc2\xa3\xc2\xaa!';b'\xc2\xa2\xc2\xa3!';0.6;0.6;0.6;28881840;5665413.775621363;23216426.224378638;1;0.4434878232553003;0
29;3;b'\xc2\xa2\xc2\xa3\xc2\xaa!';b'\xc2\xa3\xc2\xa4!';0.5;0.5;0.4;21433140;8329350.8905869685;13103789.109413031;0;1.2349528100839622;0
29;4;b'\xc2\xa3\xc2\xaa!';b'!';0.33333333333333337;0.33333333333333337;0.33333333333333326;15828960;0;15828960.0;0;1.02166746042652;0
29;5;b'\xc2\xaa!';b'!';0.5;0.5;0.5;10557240;0;10557240.0;0;1.4342583358757852;0
29;6;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.260520143014253;0
30;2;b'\xc2\xa4\xc2\xa2\xc2\xa3!';b'\xc2\xa2\xc2\xa3!';0.75;0.75;0.75;13051680;5665413.775621363;7386266.224378637;1;0.44354417401564483;0
30;3;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;3198540;8325947.232907617;5127407.232907617;0;1.4229261379340568;0
30;4;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;14280;4482441.253512452;4468161.253512452;0;1.3713302876660118;0
30;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.0216298932529568;0
