CaseID;Prefix length;Ground truth;Predicted;Levenshtein;Damerau;Jaccard;Ground truth times;Predicted times;MAE;In time;Dev. in time;Num corrections
0;2;b'\xc2\xa3\xc2\xa2\xc2\xaa\xc2\xa4!';b'\xc2\xa2\xc2\xa3!';0.4;0.4;0.6;7431480;15197598.267244501;7766118.267244501;0;1.1936279311994755;3
3;2;b'\xc2\xa4\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.6666666666666667;1.0;7689840;9364465.782178624;1674625.7821786236;1;0.9453705487608443;0
3;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;5966220;5857118.862555467;109101.13744453341;1;0.8057672596388713;0
3;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8143060541520364;0
5;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;11219880;9391887.317544837;1827992.6824551634;0;1.0822184904228733;3
5;3;b'\xc2\xa3!';b'\xc2\xa3!';1.0;1.0;1.0;2607600;0.0;2607600.0;0;1.0212025666536775;2
5;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.2252862370347872;1
6;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;11219880;9391887.317544837;1827992.6824551634;0;1.0822184904228733;3
6;3;b'\xc2\xa3!';b'\xc2\xa3!';1.0;1.0;1.0;2607600;0.0;2607600.0;0;1.0212025666536775;2
6;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.2252862370347872;1
7;2;b'\xc2\xaf\xc2\xa3\xc2\xa4\xc2\xa2!';b'\xc2\xa3\xc2\xa4!';0.6;0.6;0.6;12957660;9364465.782178624;3593194.2178213764;1;0.942445005119624;0
7;3;b'\xc2\xa3\xc2\xa4\xc2\xa2!';b'\xc2\xa4!';0.5;0.5;0.5;12957420;4918988.987432169;8038431.012567831;1;0.5945387922092359;0
8;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;11219760;9391887.317544837;1827872.6824551634;0;1.0821668355592242;3
8;3;b'\xc2\xa3!';b'\xc2\xa3!';1.0;1.0;1.0;5253600;0.0;5253600.0;1;0.814052475730486;1
8;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.2252251903777474;1
9;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;11219760;9391887.317544837;1827872.6824551634;0;1.0821668355592242;3
9;3;b'\xc2\xa3!';b'\xc2\xa3!';1.0;1.0;1.0;5253600;0.0;5253600.0;1;0.814052475730486;1
9;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.2252251903777474;1
10;2;b'\xc2\xa2\xc2\xa3\xc2\xaa\xc2\xa4!';b'\xc2\xa2\xc2\xa3!';0.6;0.6;0.6;9859020;4528597.3266599495;5330422.6733400505;1;0.3544304203493077;0
10;3;b'\xc2\xa3\xc2\xaa\xc2\xa4!';b'\xc2\xa3!';0.5;0.5;0.5;6207840;3266548.5706925993;2941291.4293074007;1;0.5414156455772728;0
10;4;b'\xc2\xaa\xc2\xa4!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;5431920;3061759.8563665487;2370160.1436334513;1;0.5861152041943276;0
10;5;b'\xc2\xa4!';b'!';0.5;0.5;0.5;3605760;0;3605760.0;1;0.48941104948894737;0
10;6;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.7716156572943588;0
11;2;b'\xc2\xa2!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.25;5600580;9403606.209117273;3803026.209117273;0;1.3193345767071112;3
11;3;b'!';b'\xc2\xa3!';0.5;0.5;0.5;0;0.0;0.0;0;1.0216909399099967;2
12;2;b'\xc2\xa2!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.25;5600580;9403606.209117273;3803026.209117273;0;1.3193345767071112;3
12;3;b'!';b'\xc2\xa3!';0.5;0.5;0.5;0;0.0;0.0;0;1.0216909399099967;2
13;2;b'\xc2\xa2!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.25;5600580;9403606.209117273;3803026.209117273;0;1.3193345767071112;3
13;3;b'!';b'\xc2\xa3!';0.5;0.5;0.5;0;0.0;0.0;0;1.0216909399099967;2
14;2;b'\xc2\xa4\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.6666666666666667;1.0;16841280;4918988.987432169;11922291.012567831;1;0.7188391777358805;1
14;3;b'\xc2\xa3!';b'\xc2\xa3!';1.0;1.0;1.0;13653300;0.0;13653300.0;1;0.5833618546733668;1
14;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.6519366271900133;1
15;2;b'\xc2\xa4\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.6666666666666667;1.0;7669920;9364465.782178624;1694545.7821786236;1;0.9449995729219094;0
15;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;5946000;5857118.862555467;88881.13744453341;1;0.8054197632834134;0
15;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8123760406102362;0
16;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;13657620;9403606.209117273;4254013.790882727;0;1.319320489017025;3
16;3;b'\xc2\xa3!';b'\xc2\xa3!';1.0;1.0;1.0;5477820;0.0;5477820.0;0;1.223539363464107;2
16;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.6522606440619942;1
17;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;13657620;9403606.209117273;4254013.790882727;0;1.319320489017025;3
17;3;b'\xc2\xa3!';b'\xc2\xa3!';1.0;1.0;1.0;5477820;0.0;5477820.0;0;1.223539363464107;2
17;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.6522606440619942;1
18;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;13657620;9403606.209117273;4254013.790882727;0;1.319320489017025;3
18;3;b'\xc2\xa3!';b'\xc2\xa3!';1.0;1.0;1.0;5477820;0.0;5477820.0;0;1.223539363464107;2
18;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.6522606440619942;1
22;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;3797520;4918988.987432169;1121468.9874321688;1;0.9147050289000797;1
22;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;3727260;4918988.987432169;1191728.9874321688;1;0.9202039239303668;0
22;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8269333203659067;0
23;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;3797520;4918988.987432169;1121468.9874321688;1;0.9147050289000797;1
23;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;3727260;4918988.987432169;1191728.9874321688;1;0.9202039239303668;0
23;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8269333203659067;0
24;2;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.75;0.75;0.75;3723600;4918988.987432169;1195388.9874321688;1;0.6768484694858141;1
24;3;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;3723540;4918988.987432169;1195448.9874321688;1;0.6768531653825095;0
24;4;b'\xc2\xa4!';b'!';0.5;0.5;0.5;1387620;0;1387620.0;1;0.47468941334893866;0
24;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.583291416222936;0
25;2;b'\xc2\xa3\xc2\xa2\xc2\xaa!';b'\xc2\xa3\xc2\xa4!';0.5;0.5;0.4;15560700;9325460.7651789;6235239.2348211;1;0.7380369252113045;0
26;2;b'\xc2\xa4\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.6666666666666667;1.0;7692660;9364465.782178624;1671805.7821786236;1;0.9437222890207667;0
26;3;b'\xc2\xa3!';b'\xc2\xa3!';1.0;1.0;1.0;530400;0.0;530400.0;1;0.7713667747695038;1
26;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8128785015566417;0
27;2;b'\xc2\xa2\xc2\xa3\xc2\xaa!';b'\xc2\xa3\xc2\xa4!';0.5;0.5;0.4;19117020;9405853.768647363;9711166.231352637;0;1.507515401926153;3
27;3;b'\xc2\xa3\xc2\xaa!';b'\xc2\xa3!';0.6666666666666667;0.6666666666666667;0.6666666666666666;18598980;0.0;18598980.0;1;0.8119111468373938;1
27;4;b'\xc2\xaa!';b'!';0.5;0.5;0.5;15911580;0;15911580.0;0;1.0222403598233558;1
27;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.267559292160624;1
28;2;b'!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.33333333333333326;0;4918988.987432169;4918988.987432169;1;0.7232392329394493;1
29;2;b'\xc2\xa4\xc2\xa2\xc2\xa3\xc2\xaa!';b'\xc2\xa2\xc2\xa3!';0.6;0.6;0.6;28881840;4528597.3266599495;24353242.673340052;1;0.3545149464898245;0
29;3;b'\xc2\xa2\xc2\xa3\xc2\xaa!';b'\xc2\xa3!';0.5;0.5;0.5;21433140;3266548.5706925993;18166591.4293074;1;0.8387128653616277;0
29;4;b'\xc2\xa3\xc2\xaa!';b'!';0.33333333333333337;0.33333333333333337;0.33333333333333326;15828960;0;15828960.0;0;1.02166746042652;1
29;5;b'\xc2\xaa!';b'!';0.5;0.5;0.5;10557240;0;10557240.0;0;1.4342583358757852;1
29;6;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.260520143014253;1
30;2;b'\xc2\xa4\xc2\xa2\xc2\xa3!';b'\xc2\xa2\xc2\xa3!';0.75;0.75;0.75;13051680;4528597.3266599495;8523082.67334005;1;0.35457129725016906;0
30;3;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3!';0.6666666666666667;0.6666666666666667;0.6666666666666666;3198540;3266548.5706925993;68008.57069259929;0;1.0269525802925337;2
30;4;b'\xc2\xa3!';b'!';0.5;0.5;0.5;14280;0;14280.0;0;1.0205122698394569;1
30;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.0216298932529568;1
31;2;b'\xc2\xa4\xc2\xa2\xc2\xa3\xc2\xaa!';b'\xc2\xa2\xc2\xa3!';0.6;0.6;0.6;28881600;4528597.3266599495;24353002.673340052;1;0.3545149464898245;0
31;3;b'\xc2\xa2\xc2\xa3\xc2\xaa!';b'\xc2\xa3!';0.5;0.5;0.5;21432900;3266548.5706925993;18166351.4293074;1;0.8387128653616277;0
31;4;b'\xc2\xa3\xc2\xaa!';b'!';0.33333333333333337;0.33333333333333337;0.33333333333333326;18488940;0;18488940.0;1;0.8134654886435638;0
31;5;b'\xc2\xaa!';b'!';0.5;0.5;0.5;10562520;0;10562520.0;0;1.4338263133798106;1
31;6;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.2605013594274714;1
32;2;b'\xc2\xa3\xc2\xa4\xc2\xa2!';b'\xc2\xa2\xc2\xa3!';0.25;0.5;0.75;28849260;5016854.168503545;23832405.831496455;1;0.3940478882964045;0
33;2;b'\xc2\xa2\xc2\xa4\xc2\xa3!';b'\xc2\xa2\xc2\xa3!';0.75;0.75;0.75;13063560;4747752.994596711;8315807.005403289;1;0.37215552602678753;0
33;3;b'\xc2\xa4\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.6666666666666667;1.0;2700960;2784232.891056069;83272.89105606917;0;1.0295090515266898;3
33;4;b'\xc2\xa3!';b'\xc2\xa3!';1.0;1.0;1.0;788340;0.0;788340.0;1;0.9612923166140502;1
33;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.0229917032946163;1
34;2;b'\xc2\xa4\xc2\xa2\xc2\xa3!';b'\xc2\xa2\xc2\xa3!';0.75;0.75;0.75;18316500;5016854.168503545;13299645.831496455;1;0.3940478882964045;0
34;3;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3!';0.6666666666666667;0.6666666666666667;0.6666666666666666;8479560;3537276.6070605344;4942283.392939465;0;1.0481363992512809;2
34;4;b'\xc2\xa3!';b'\xc2\xa3!';1.0;1.0;1.0;7940100;0.0;7940100.0;1;0.8135124476105176;1
34;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.4349439367933103;1
35;2;b'\xc2\xa3\xc2\xa2\xc2\xa4!';b'\xc2\xa2\xc2\xa3!';0.5;0.5;0.75;15991200;4528597.3266599495;11462602.67334005;1;0.3548295715684148;0
37;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;17470680;4918988.987432169;12551691.012567831;1;0.6823051014458429;1
37;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;16682280;5623549.399805555;11058730.600194445;1;0.7991515658924534;0
37;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.6646625072344865;1
38;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;10458780;9325460.7651789;1133319.2348210998;1;0.7379101360005292;0
38;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;4496460;5829112.323525616;1332652.323525616;1;0.9309092641961425;0
38;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8266093034939257;0
39;2;b'\xc2\xb9\xc2\xa3\xc2\xa4\xc2\xa2!';b'\xc2\xa3\xc2\xa4!';0.6;0.6;0.6;26150520;9364465.782178624;16786054.217821375;1;0.9438913413018003;0
39;3;b'\xc2\xa3\xc2\xa4\xc2\xa2!';b'\xc2\xa4!';0.5;0.5;0.5;25205880;5859366.422085557;19346513.577914443;1;0.7434971305066449;0
40;2;b'\xc2\xb9\xc2\xa3\xc2\xa4\xc2\xa2!';b'\xc2\xa3\xc2\xa4!';0.6;0.6;0.6;15611880;9364465.782178624;6247414.217821376;1;0.9438913413018003;0
40;3;b'\xc2\xa3\xc2\xa4\xc2\xa2!';b'\xc2\xa4!';0.5;0.5;0.5;14667240;5859366.422085557;8807873.577914443;1;0.7434971305066449;0
41;2;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.75;0.75;0.75;7157580;9364465.782178624;2206885.7821786236;1;0.9438913413018003;0
41;3;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;6210900;5859366.422085557;351533.57791444287;1;0.7436567909942877;0
41;4;b'\xc2\xa4!';b'!';0.5;0.5;0.5;6124500;0;6124500.0;1;0.2918358919276308;0
41;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.7711695471082979;0
44;2;b'\xc2\xa3\xc2\xa2\xc2\xaa!';b'\xc2\xa3\xc2\xa4!';0.5;0.5;0.4;8487360;9405853.768647363;918493.7686473634;0;1.5072993906781655;3
45;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;8465640;4918988.987432169;3546651.012567831;1;0.6835589058635086;1
45;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;7711260;5623549.399805555;2087710.6001944449;1;0.7977427968838401;0
45;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.9611373520231028;0
46;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;8465640;4918988.987432169;3546651.012567831;1;0.6835589058635086;1
46;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;7711260;5623549.399805555;2087710.6001944449;1;0.7977427968838401;0
46;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.9611373520231028;0
47;2;b'\xc2\xaa\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.5;5711520;4918988.987432169;792531.0125678312;1;0.7090670167127997;1
47;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;5681520;4918988.987432169;762531.0125678312;1;0.7114149650604885;0
47;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.7710944127611719;0
48;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;17389620;4918988.987432169;12470631.012567831;1;0.6884895973936551;1
48;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;2839740;5751623.474608319;2911883.474608319;0;1.8924012465091156;2
48;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.6645028467468437;1
49;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;6935400;4918988.987432169;2016411.0125678312;1;0.668663521545771;1
49;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;6842460;4918988.987432169;1923471.0125678312;1;0.6759374655269109;0
49;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8264778183864551;0
50;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;6757560;4918988.987432169;1838571.0125678312;1;0.6825727675574794;1
50;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;6673740;4918988.987432169;1754751.0125678312;1;0.6891329352409219;0
50;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.8264684265930643;0
51;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa2\xc2\xa3!';0.33333333333333337;0.33333333333333337;0.5;17775300;5413482.561515683;12361817.438484317;1;0.42723131652346297;0
51;3;b'\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;101340;6148438.005149797;6047098.005149797;0;1.8680040698109015;3
