CaseID;Prefix length;Ground truth;Predicted;Levenshtein;Damerau;Jaccard;Ground truth times;Predicted times;MAE;In time;Dev. in time;Num corrections
0;2;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.75;0.75;0.75;21003036;2211047.095781144;18791988.904218856;1;0.4702630053269871;0
0;3;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;13983772;2996051.445158982;10987720.554841017;0;1.2217110279409436;0
0;4;b'\xc2\xa4!';b'!';0.5;0.5;0.5;13983768;0;13983768.0;1;0.9332312079842406;0
0;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.2796834751118866;0
1;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;9931761;2211047.095781144;7720713.904218856;1;0.471228569353418;0
1;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;9931754;2040298.6664260412;7891455.333573959;1;0.4547884235609683;0
1;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.2146314018503113;0
2;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;9940661;2211047.095781144;7729613.904218856;1;0.4703592921265913;0
2;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;9940636;2040298.6664260412;7900337.333573959;1;0.4539208794965345;0
2;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.2146190771399619;0
3;2;b'\xc2\xa6\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.6;0.6;0.6;1315877;2211047.095781144;895170.0957811442;0;1.1693666014316375;0
3;3;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.5;0.5;0.5;1313306;2040298.6664260412;726992.6664260412;0;1.1531733349933728;0
3;4;b'\xc2\xa3\xc2\xa4!';b'!';0.33333333333333337;0.33333333333333337;0.33333333333333326;1298814;0;1298814.0;1;0.9581148944663533;0
3;5;b'\xc2\xa4!';b'!';0.5;0.5;0.5;1296011;0;1296011.0;1;0.9583847863656438;0
3;6;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.0831735378074847;0
4;2;b'\xc2\xa3\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.6;0.6;0.75;11317732;4086441.1362094786;7231290.863790521;1;0.393553434284626;0
4;3;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.5;0.5;0.5;11317340;7067731.545677698;4249608.454322302;1;0.6806500909284652;0
5;2;b'\xc2\xa2\xc2\xa6\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.19999999999999996;0.19999999999999996;0.4;15824861;2211047.095781144;13613813.904218856;1;0.7120831622005562;0
5;3;b'\xc2\xa6\xc2\xa2\xc2\xa3!';b'\xc2\xa4!';0.25;0.25;0.19999999999999996;13228270;2525430.1679835934;10702839.832016407;1;0.9923715393437399;0
5;4;b'\xc2\xa2\xc2\xa3!';b'!';0.33333333333333337;0.33333333333333337;0.33333333333333326;13217737;0;13217737.0;1;0.7502201397049297;0
5;5;b'\xc2\xa3!';b'!';0.5;0.5;0.5;8;0;8.0;0;2.0229129631505725;0
5;6;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.022913733444969;0
6;2;b'\xc2\xa2\xc2\xa3\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.4;0.4;0.5;18409807;2211047.095781144;16198759.904218856;1;0.7122518566734628;0
6;3;b'\xc2\xa3\xc2\xa2\xc2\xa3!';b'\xc2\xa4!';0.25;0.25;0.25;9876924;3204979.3114174805;6671944.688582519;0;1.6295584042076963;0
6;4;b'\xc2\xa2\xc2\xa3!';b'!';0.33333333333333337;0.33333333333333337;0.33333333333333326;9857591;0;9857591.0;0;1.3228227162103778;0
7;2;b'\xc2\xa3\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.75;0.75;1.0;16490779;3873590.8440423617;12617188.15595764;1;0.3741172416450841;0
7;3;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;16490765;7067731.545677698;9423033.4543223;1;0.6816721753062638;0
8;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;2592033;2211047.095781144;380985.9042188558;0;1.910199644756354;0
8;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;2592024;2040298.6664260412;551725.3335739588;0;1.8937596915375035;0
8;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.9468835581679005;0
9;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;18921550;3923515.355275088;14998034.644724913;1;0.37782799155319385;0
9;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;18920902;7003156.754520409;11917745.245479591;1;0.6744191996612743;0
9;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.8219407478466931;0
10;2;b'\xc2\xa6\xc2\xa2\xc2\xa3\xc2\xa2!';b'\xc2\xa3\xc2\xa4!';0.4;0.4;0.4;18406955;2211047.095781144;16195907.904218856;0;1.2194568240349357;0
10;3;b'\xc2\xa2\xc2\xa3\xc2\xa2!';b'\xc2\xa4!';0.25;0.25;0.25;12597707;3219158.8357996233;9378548.164200377;0;1.8758785751518463;0
10;4;b'\xc2\xa3\xc2\xa2!';b'!';0.33333333333333337;0.33333333333333337;0.33333333333333326;12013377;0;12013377.0;0;1.6221793390478363;0
10;5;b'\xc2\xa2!';b'!';0.5;0.5;0.5;12013368;0;12013368.0;0;1.6221802056290329;0
11;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;5184231;3925334.074666987;1258896.9253330128;1;0.3779859711724884;0
11;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;5184145;7106021.694811222;1921876.6948112221;1;0.6842524833216469;0
11;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.49920112714437365;0
12;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;10452776;4086441.1362094786;6366334.863790521;1;0.39367437050492887;0
12;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;10450903;7067731.545677698;3383171.454322302;1;0.6809136278989819;0
12;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.0066683797479683;0
13;2;b'\xc2\xa2\xc2\xa6\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.5;0.5;0.6;18912449;4190592.654488788;14721856.345511213;1;0.4044229158482019;0
13;3;b'\xc2\xa6\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.4;0.4;0.4;18897433;7360369.177291633;11537063.822708368;1;0.7110763952722787;0
13;4;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.5;0.5;0.5;18896727;2316538.3495923956;16580188.650407605;1;0.22549004560862906;0
13;5;b'\xc2\xa3\xc2\xa4!';b'!';0.33333333333333337;0.33333333333333337;0.33333333333333326;16235122;0;16235122.0;1;0.2587154090265191;0
13;6;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;16233639;265724.8946849156;15967914.105315084;1;0.28444400203470616;0
13;7;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.8219433475902824;0
16;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;6393645;2211047.095781144;4182597.904218856;0;1.4775799729570893;0
16;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;6393620;2040298.6664260412;4353321.333573959;0;1.4611415603270324;0
16;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.8803089391855636;0
17;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;2592049;2211047.095781144;381001.9042188558;0;1.8763287409727845;0
17;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;2592018;2040298.6664260412;551719.3335739588;0;1.8598909060635251;0
17;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.9130141949731247;0
18;2;b'\xc2\xa2\xc2\xa6\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.19999999999999996;0.19999999999999996;0.4;3801586;2211047.095781144;1590538.9042188558;0;2.126864971520125;0
18;3;b'\xc2\xa6\xc2\xa2\xc2\xa3!';b'\xc2\xa4!';0.25;0.25;0.19999999999999996;2615564;2040298.6664260412;575265.3335739588;0;2.2246224143602524;0
18;4;b'\xc2\xa2\xc2\xa3!';b'!';0.33333333333333337;0.33333333333333337;0.33333333333333326;2615554;0;2615554.0;0;2.028169548401365;0
18;5;b'\xc2\xa3!';b'!';0.5;0.5;0.5;44;0;44.0;0;2.28000863563415;0
18;6;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.2800128722533324;0
19;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;3801592;2211047.095781144;1590544.9042188558;0;2.125376955319042;0
19;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;148;2042943.0474162018;2042795.0474162018;0;2.475219631136066;0
19;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.2785254337730465;0
20;2;b'\xc2\xa1\xc2\xa2\xc2\xa3\xc2\xa2\xc2\xa7\xc2\xa3\xc2\xa2\xc2\xa7\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.2727272727272727;0.2727272727272727;0.5;10453802;3910110.0328545524;6543691.967145448;1;0.37655360471559074;0
20;3;b'\xc2\xa2\xc2\xa3\xc2\xa2\xc2\xa7\xc2\xa3\xc2\xa2\xc2\xa7\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.19999999999999996;0.19999999999999996;0.4;10453792;7106021.694811222;3347770.305188778;1;0.6842786733311392;0
20;4;b'\xc2\xa3\xc2\xa2\xc2\xa7\xc2\xa3\xc2\xa2\xc2\xa7\xc2\xa3\xc2\xa4!';b'!';0.11111111111111116;0.11111111111111116;0.19999999999999996;7798155;0;7798155.0;1;0.25576537406024563;0
20;5;b'\xc2\xa2\xc2\xa7\xc2\xa3\xc2\xa2\xc2\xa7\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.25;0.25;0.4;7796236;280156.2317053048;7516079.768294695;1;0.282925495368763;0
21;2;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.75;0.75;0.75;2764711;4178583.4032768705;1413872.4032768705;1;0.4023849815461874;0
21;3;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;2760913;7001725.98506271;4240812.98506271;1;0.6745820428375854;0
21;4;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;2760900;1124753.8007814572;1636146.1992185428;1;0.10870845157862483;0
21;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.2662477327859566;0
22;2;b'\xc2\xa3\xc2\xa2!';b'\xc2\xa3\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.5;10477693;2211047.095781144;8266645.904218856;0;1.4752641791398087;0
23;2;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.75;0.75;0.75;22752165;2211047.095781144;20541117.904218856;1;0.46805919305764615;0
23;3;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;4426158;2495289.449024357;1930868.550975643;0;2.2599805431175963;0
23;4;b'\xc2\xa4!';b'!';0.5;0.5;0.5;4425195;0;4425195.0;0;2.0198098321729283;0
23;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.445897696347443;0
24;2;b'\xc2\xa2\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;10254450;2211047.095781144;8043402.904218856;1;0.4791467143188695;0
24;3;b'\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.33333333333333326;51;2464915.725009813;2464864.725009813;0;1.4909541737217282;0
24;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.253620237893243;0
25;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;27046139;4086441.1362094786;22959697.86379052;1;0.39356624042897337;0
25;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;27032503;7139221.954739582;19893281.04526042;1;0.6888217021377345;0
25;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.6042820676127847;0
26;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;18858263;2211047.095781144;16647215.904218856;1;0.9597654520076283;0
26;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;13586550;3219158.8357996233;10367391.164200377;0;1.5644296782992946;0
26;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.5626725937450257;0
27;2;b'\xc2\xa6\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.6;0.6;0.6;26353748;4178583.4032768705;22175164.596723128;1;0.40234454109035367;0
27;3;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.5;0.5;0.5;26353716;7106021.694811222;19247694.30518878;1;0.6842212863985752;0
27;4;b'\xc2\xa3\xc2\xa4!';b'!';0.33333333333333337;0.33333333333333337;0.33333333333333326;1299623;0;1299623.0;0;2.4123836314432063;0
27;5;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;1299614;280156.2317053048;1019457.7682946952;0;2.4393598449644798;0
27;6;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.5375201708052177;0
28;2;b'\xc2\xa6\xc2\xa6\xc2\xa2\xc2\xa4\xc2\xa3!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.6;7745987;4086441.1362094786;3659545.8637905214;1;0.39391191003955245;0
28;3;b'\xc2\xa6\xc2\xa2\xc2\xa4\xc2\xa3!';b'\xc2\xa4!';0.4;0.4;0.4;7745746;7067731.545677698;678014.4543223018;1;0.6809940273766514;0
28;4;b'\xc2\xa2\xc2\xa4\xc2\xa3!';b'\xc2\xa4!';0.5;0.5;0.5;7745746;1145366.0409617918;6600379.959038208;1;0.11074840684123519;0
28;5;b'\xc2\xa4\xc2\xa3!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;7745722;804149.1191920984;6941572.880807902;1;0.07789603235642471;0
28;6;b'\xc2\xa3!';b'!';0.5;0.5;0.5;2588370;0;2588370.0;1;0.4970520057772079;0
28;7;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.746277869268735;0
29;2;b'\xc2\xa4\xc2\xa2\xc2\xa3\xc2\xa6\xc2\xa6!';b'\xc2\xa3\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.6;18517641;2211047.095781144;16306593.904218856;1;0.9592429998329759;0
29;3;b'\xc2\xa2\xc2\xa3\xc2\xa6\xc2\xa6!';b'\xc2\xa4!';0.19999999999999996;0.19999999999999996;0.19999999999999996;2594410;3638226.6125505036;1043816.6125505036;0;2.629858500311778;0
29;4;b'\xc2\xa3\xc2\xa6\xc2\xa6!';b'!';0.25;0.25;0.33333333333333326;1302040;0;1302040.0;0;2.4039834747589364;0
29;5;b'\xc2\xa6\xc2\xa6!';b'!';0.33333333333333337;0.33333333333333337;0.5;1302028;0;1302028.0;0;2.4039846302005317;0
31;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;38361971;4178583.4032768705;34183387.59672313;1;0.40236206528788165;0
31;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;35697797;3359604.113112278;32338192.88688772;1;0.5800299585445363;0
31;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;3.693771056606309;0
32;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;33267475;2211047.095781144;31056427.904218856;0;1.7183591732401373;0
32;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;33267466;2040298.6664260412;31227167.33357396;0;1.701919220021287;0
32;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;4.70868322327599;0
33;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;26726358;2211047.095781144;24515310.904218856;1;0.7010085433704798;0
33;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;26726343;2040298.6664260412;24686044.33357396;1;0.6845691678724269;0
33;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;3.061509371639697;0
34;2;b'\xc2\xa3\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.75;0.75;1.0;29113144;2211047.095781144;26902096.904218856;1;0.47114566641895883;0
34;3;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;29112982;2040298.6664260412;27072683.33357396;1;0.4547204450804478;0
36;2;b'\xc2\xa3\xc2\xa4\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.75;0.75;1.0;1296021;2213691.476771305;917670.4767713048;1;0.34632565845156993;0
36;3;b'\xc2\xa4\xc2\xa4!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;1.0;1296014;2040298.6664260412;744284.6664260412;1;0.32963089367664344;0
36;4;b'\xc2\xa4!';b'!';0.5;0.5;0.5;0;0;0.0;1;0.25796610515199925;0
36;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.25796610515199925;0
37;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';1.0;1.0;1.0;2169263;2214935.3894096133;45672.38940961333;1;0.26214431574222974;0
37;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;2169098;2040298.6664260412;128799.33357395884;1;0.2453449919147108;0
37;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;1;0.25774666753570125;0
38;2;b'\xc2\xa2\xc2\xa3\xc2\xa2\xc2\xa3\xc2\xa4\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.4285714285714286;0.4285714285714286;0.75;24114508;2213691.476771305;21900816.523228694;1;0.3299676866404114;0
38;3;b'\xc2\xa3\xc2\xa2\xc2\xa3\xc2\xa4\xc2\xa4!';b'\xc2\xa4!';0.33333333333333337;0.33333333333333337;0.5;24114501;2040298.6664260412;22074202.33357396;1;0.31327292186548483;0
38;4;b'\xc2\xa2\xc2\xa3\xc2\xa4\xc2\xa4!';b'!';0.19999999999999996;0.19999999999999996;0.25;24114495;0;24114495.0;1;0.11681967075939867;0
39;2;b'\xc2\xa3\xc2\xa4\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.75;0.75;1.0;1567179;2213691.476771305;646512.4767713048;1;0.3201505734131658;0
