CaseID;Prefix length;Ground truth;Predicted;Levenshtein;Damerau;Jaccard;Ground truth times;Predicted times;MAE;In time;Dev. in time;Num corrections
0;2;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa2\xc2\xa4!';0.75;0.75;0.75;21003036;2597577.1880776403;18405458.81192236;1;0.5074807508648718;0
0;3;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.6666666666666666;13983772;0.0;13983772.0;1;0.9332308228370423;1
0;4;b'\xc2\xa4!';b'!';0.5;0.5;0.5;13983768;0;13983768.0;1;0.9332312079842406;0
0;5;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;2.2796834751118866;1
1;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa2\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.5;9931761;2597577.1880776403;7334183.81192236;1;0.5084463148913027;0
1;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;9931754;2273313.996245819;7658440.003754181;1;0.4772247239280496;0
1;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.2146314018503113;1
2;2;b'\xc2\xa3\xc2\xa4!';b'\xc2\xa2\xc2\xa4!';0.6666666666666667;0.6666666666666667;0.5;9940661;2597577.1880776403;7343083.81192236;1;0.5075770376644759;0
2;3;b'\xc2\xa4!';b'\xc2\xa4!';1.0;1.0;1.0;9940636;2273313.996245819;7667322.003754181;1;0.47635717986361575;0
2;4;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.2146190771399619;1
3;2;b'\xc2\xa6\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa2\xc2\xa4!';0.6;0.6;0.6;1315877;394197.273405455;921679.726594545;1;0.9944279466735767;2
3;3;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.5;0.5;0.5;1313306;0.0;1313306.0;1;0.9567195061664892;1
3;4;b'\xc2\xa3\xc2\xa4!';b'!';0.33333333333333337;0.33333333333333337;0.33333333333333326;1298814;0;1298814.0;1;0.9581148944663533;0
3;5;b'\xc2\xa4!';b'!';0.5;0.5;0.5;1296011;0;1296011.0;1;0.9583847863656438;0
3;6;b'!';b'!';1.0;1.0;1.0;0;0;0.0;0;1.0831735378074847;1
4;2;b'\xc2\xa3\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa3\xc2\xa4!';0.6;0.6;0.75;11317732;2821447.1565487664;8496284.843451234;1;0.27175121246443984;0
4;3;b'\xc2\xa2\xc2\xa3\xc2\xa4!';b'\xc2\xa4!';0.5;0.5;0.5;11317340;6948934.4929056335;4368405.5070943665;1;0.669211502914667;0
5;2;b'\xc2\xa2\xc2\xa6\xc2\xa2\xc2\xa3!';b'\xc2\xa2\xc2\xa4!';0.4;0.4;0.4;15824861;2667511.269651274;13157349.730348725;1;0.7560346366364605;0
5;3;b'\xc2\xa6\xc2\xa2\xc2\xa3!';b'\xc2\xa4!';0.25;0.25;0.19999999999999996;13228270;1112450.245725393;12115819.754274607;1;0.8563202247244665;0
5;4;b'\xc2\xa2\xc2\xa3!';b'!';0.33333333333333337;0.33333333333333337;0.33333333333333326;13217737;0;13217737.0;1;0.7502201397049297;0
5;5;b'\xc2\xa3!';b'!';0.5;0.5;0.5;8;0;8.0;0;2.0229129631505725;1
